,0,1
0,Morpheus,"Cedo ou tarde, você vai aprender, assim como eu aprendi, que existe uma diferença entre CONHECER o caminho e TRILHAR o caminho."
1,Neo,Não acredito em destino. Porque não gosto da idéia de não poder controlar minha vida.
2,Morpheus,"O que é real? Como você define o 'real'? Se você está falando sobre o que você pode sentir, o que você pode cheirar, o que você pode saborear e ver, o real são simplesmente sinais elétricos interpretados pelo seu cérebro."
3,Matrix,Vivemos em uma realidade programada
4,Morpheus,Não pense que é capaz. Saiba que é.
5,Neo,Tive sonhos que não eram apenas sonhos
6,Matrix,O que é real?
7,Morpheus,"Você é um escravo, Neo. Como todo mundo, você nasceu em cativeiro. Em uma prisão que não pode sentir, ver ou tocar. Uma prisão para a sua mente."
